ts,family,market,side,qty,px,purpose,est_day,rested_h,fair,band_lo,band_hi,conf,touch_bid,touch_ask,conc,pos_after,why,oid
1788920744.8,nfl,fptc-nfl-rbfpou-2027-01-10-bhatut,SELL,0.5,0.36,earn,0.0537,0.72,,28,39,0,0.35,0.36,-0.03,-0.5,exploring (+$0.30/day to learn this depth) — joins the touch — the book has been,CCJFZR0PMR3Z
1788920902.3,nfl,fptc-nfl-wrfpou-2027-01-10-zayflo,BUY,0.01,0.82,earn,0.0025,0.46,,75,85,0,0.82,0.83,0.01,0.01,exploring (+$0.27/day to learn this depth) — 1 tick in front of the touch — we w,CCJR6ARHJR3X
1788921022.4,nfl,fptc-nfl-wrfpou-2027-01-10-emeegb,SELL,0.5,0.37,earn,0.4022,0.75,,22,48,0,0.36,0.37,-0.01,-0.5,exploring (+$0.30/day to learn this depth) — joins the touch — the book has been,CCJHRP6AGR3Y
1788921082.4,nfl,fptc-nfl-wrfpou-2027-01-10-ladmcc,SELL,0.01,0.41,earn,0.0006,0.76,,36,45,0,0.39,0.41,-0.01,-0.01,exploring (+$0.30/day to learn this depth) — 1 tick in front of the touch — we w,CCJHQCGEJR47
1788921082.4,nfl,fptc-nfl-wrfpou-2027-01-10-britho,BUY,1,0.65,earn,0.0525,0.11,,60,70,0,0.65,0.66,0,1,exploring (+$0.17/day to learn this depth) — joins the touch — the book has been,CCK3W0G5RR3V
1788921603.2,nfl,aqc-nfl-2027-01-10-playoffq-nyj,BUY,1,0.12,earn,0.0206,0.62,,11,19,0,0.14,0.17,-0.03,1,exploring (+$0.26/day to learn this depth) — 1 tick in front of the touch — we w,CCJSVDHAGR40
1788921665.9,nfl,aqc-nfl-2027-01-10-playoffq-nyj,SELL,0.5,0.17,earn,0.083,0.64,,7,12,0.454,0.09,0.12,-0.07,0.5,exploring (+$0.26/day to learn this depth) — joins the touch — the book has been,CCJSZ2C46R3V
1788921792.7,nfl,tec-nfl-oroy-2027-02-11-w-cartat,SELL,0.5,0.34,manual,0.1446,0.56,,8,16,0.453,0.33,0.34,-0.22,0.5,the owner's own order — the engine leaves it alone,CCJTZQ36ER3X
1788921792.7,nfl,tec-nfl-cbpoty-2027-02-11-w-micpar,SELL,0.5,0.11,earn,0.0656,0.15,,4,14,0,0.06,0.12,-0.02,-0.5,exploring (+$0.11/day to learn this depth) — joins the touch — the book has been,CCK8QWE9ER46
1788921912.7,nfl,ftsc-nfl-rbmostfp-w1-2026-09-14-bijrob,SELL,0.01,0.03,earn,0.0242,0.45,,5,26,0,0.02,0.03,0.12,-0.01,exploring (+$0.21/day to learn this depth) — joins the touch — the book has been,CCK1HMN92R3Z
1788922136.3,nfl,tec-nfl-oroy-2027-02-11-w-jadpri,BUY,1,0.29,sell,6.3753,0.1,,25,33,0.45,0.24,0.3,0,2,buying back the short at or under what it sold for — the bid earns while it wait,CCKD9YEB8R40
1788924213.4,cfb,aachc-cfb-wins-2026-11-28-cah-6pt5wins,SELL,1,0.37,sell,0,0,,42,56,0.608,0.37,0.38,0.12,0,taker dump — sold into the bid (the carved exception),CCKYT0J7CR3W
1788924823.9,nfl,fptc-nfl-qbfpou-2027-01-10-tuatag,BUY,0.5,0.78,earn,0.0625,0.96,,75,84,0,0.78,0.81,-0.02,0.5,exploring (+$0.12/day to learn this depth) — joins the touch — the book has been,CCKA6STDCR3Y
1788924943.9,nfl,fptc-nfl-qbfpou-2027-01-10-dramay,BUY,0.01,0.65,earn,0.0332,0.81,,54,67,0,0.53,0.66,0.04,0.01,exploring (+$0.06/day to learn this depth) — joins the touch — the book has been,CCKEY6T66R42
1788924999.3,cfb,aachc-cfb-wins-2026-11-28-minnst-6pt5wins,BUY,0.78,0.5,backfill,,16,,,,,,,,,recovered from the exchange's transaction history — this fill was never journale,CC6CS1QT4R42
1788925003.9,cfb,aachc-cfb-wins-2026-11-28-minnst-8pt5wins,BUY,2,0.24,earn,0.3278,13.26,,25,31,0.044,0.24,0.25,-0.04,6,joins the touch — the book has been quiet,CC8P2DNFER47
1788925278.7,cfb,aachc-cfb-wins-2026-11-28-ohiost-11pt5wins,SELL,0.01,0.29,sell,0,0,,18,26,0.416,0.29,0.3,-0.07,0,taker dump — sold into the bid (the carved exception),CCM733QPPR3X
1788925278.7,nfl,aqc-nfl-2027-01-10-playoffq-nyj,SELL,1,0.11,sell,0,0,,12,16,0.62,0.11,0.12,0.03,0,taker dump — sold into the bid (the carved exception),CCM73E3HRR3Y
1788925956.5,nfl,ftsc-nfl-temostfp-w1-2026-09-14-brobow,BUY,1,0.41,probe,0.0008,0.25,,40,48,0,0.44,0.45,-0.03,1,a scout — this market's pool could pay; but I don't know enough yet; what happen,CCM5F9TDCR3Y
1788926990.5,nfl,tec-nfl-oroy-2027-02-11-w-cartat,BUY,0.01,0.22,earn,0.1188,0.98,,20,29,0.618,0.26,0.27,-0.03,1.01,exploring (+$0.01/day to learn this depth) — 8 ticks in front of the touch — we ,CCKS77H0RR47
1788927050.5,nfl,tec-nfl-oroy-2027-02-11-w-jadpri,SELL,1,0.25,sell,0.3327,1.3,,23,28,0.617,0.22,0.25,0,0,selling filled stock — it earns while it waits,CCKGX9G8WR46
1788927666.5,nfl,fptc-nfl-qbfpou-2027-01-10-bropur,BUY,0.01,0.7,earn,1.1221,0.74,,55,73,0,0.69,0.72,0.04,0.01,1 tick in front of the touch — we would hold 72% of the bid side,CCM51GMWTR3X
1788927666.5,nfl,fptc-nfl-qbfpou-2027-01-10-bakmay,BUY,0.01,0.68,earn,0.5208,0.29,,43,67,0,0.68,0.69,0.1,0.01,joins the touch — the book has been quiet,CCMGBP8R6R46
1788927666.5,nfl,ftsc-nfl-rbmostfp-w1-2026-09-14-jahgib,BUY,2,0.22,earn,0.0427,2.36,,21,28,0,0.22,0.26,-0.02,2,exploring (+$0.27/day to learn this depth) — joins the touch — the book has been,CCJRA3MJPR3Y
1788927666.5,nfl,fptc-nfl-qbfpou-2027-01-10-gensmi,BUY,0.72,0.36,earn,0.0018,0.6,,33,44,0,0.41,0.42,-0.03,0.72,exploring (+$0.06/day to learn this depth) — 1 tick behind the touch — we would ,CCM8Y1856R40
1788927742.7,nfl,ftsc-nfl-rbmostfp-w1-2026-09-14-kyrwil,BUY,4.9,0.15,earn,0.9297,1.82,,11,19,0,0.17,0.18,0,4.9,exploring (+$0.07/day to learn this depth) — 2 ticks behind the touch — we would,CCK8HJ5EMR3W
1788927802.7,nfl,tec-nfl-cbpoty-2027-02-11-w-micpar,BUY,1,0.11,sell,0.5576,0.07,,13,21,0.447,0.11,0.12,-0.05,2,buying back the short at or under what it sold for — the bid earns while it wait,CCMQ6STAPR40
1788928042.8,nfl,ftsc-nfl-temostfp-w1-2026-09-14-geokit,BUY,2,0.13,earn,0.0514,0.83,,10,17,0,0.13,0.14,0,2,joins the touch — the book has been quiet,CCM54MNW0R45
1788928349.8,nfl,ftsc-nfl-temostfp-w1-2026-09-14-brobow,SELL,1,0.26,sell,0.1967,0.66,,24,34,0.451,0.25,0.26,0.02,0,selling filled stock — it earns while it waits,CCMC24EVAR3Y
1788928349.8,nfl,tec-nfl-oroy-2027-02-11-w-cartat,SELL,1,0.27,sell,2.1995,0.38,,18,23,0.708,0.26,0.27,-0.07,0,selling filled stock — it earns while it waits,CCMKZ8K4JR3X
1788928589.9,nfl,tec-nfl-oroy-2027-02-11-w-jadpri,BUY,1,0.23,sell,0.067,0.43,,24,29,0.708,0.23,0.24,-0.04,2,buying back the short at or under what it sold for — the bid earns while it wait,CCMM4YSJJR3Y
1788928835.3,nfl,ftsc-nfl-rbmostfp-w1-2026-09-14-jahgib,SELL,0.05,0.26,sell,0.0015,2.67,,18,25,0.453,0.2,0.26,-0.04,1.95,an exit — its fill reduces the position it sits on,CCJRKBPRJR3V
1788928835.3,nfl,ftsc-nfl-rbmostfp-w1-2026-09-14-jahgib,SELL,1.95,0.26,sell,0.0596,0.3,,18,25,0.453,0.2,0.26,-0.04,0,selling filled stock — it earns while it waits,CCMQ8YR68R46
1788929262.3,nfl,tec-nfl-oroy-2027-02-11-w-jadpri,SELL,1,0.19,sell,6.4107,0.08,,21,25,0.764,0.18,0.19,0.04,0,selling filled stock — it earns while it waits,CCN0X5504R45
1788929503.0,nfl,aqc-nfl-afc-2027-01-24-champq-jax,SELL,0.01,0.13,earn,0.0001,2.05,,9,15,0,0.11,0.12,-0.01,-0.01,exploring (+$0.11/day to learn this depth) — 1 tick behind the touch — we would ,CCKFSHM9WR3V
1788930232.7,cfb,aachc-cfb-wins-2026-11-28-wisc-8pt5wins,BUY,1,0.23,earn,1.2095,0.4,,26,35,0.098,0.23,0.24,-0.07,2,1 tick in front of the touch — we would hold 53% of the bid side,CCMZ8XT12R45
1788930565.4,nfl,tec-nfl-afcnorth-2027-01-10-w-pit,SELL,1,0.19,sell,0.0059,3.25,,,,0.439,,,,0,selling filled stock — it earns while it waits,CCJNMEFG8R3X
1788930982.7,nfl,fptc-nfl-rbfpou-2027-01-10-bucirv,BUY,1,0.36,backfill,,0.95,,,,,,,,,recovered from the exchange's transaction history — this fill was never journale,CCMP3Z6RMR46
